text,uuid,sentiment_class
paketleme ve kargolama iyi. ürüne ekran kartı taktıgımda ekran kartı ve dahili ekran kartı çalıştı ne kadar çok driverlarını indirip kurmayı denesemde olmadı en son ekran kartını çıkarttım ve driverlar kuruldu ekran kartsız takılıyorum çok iyi oldugunu pek söyleyemem ama iş görür,99db7856-2545-44d5-8125-a5d72bd2789b,2
Ürün güzel kargo geç çıktı,50cbcd00-c0ba-4d6e-afda-049c808361a0,2
"Malzeme kalitesi düşük bir ürün. Uzun ömürlü olacağını düşünmüyorum.
Aktif kullanacaksanız başka ürünlere bakmanızı öneririm",5cfa9aae-58ba-4df7-b8da-9e9965977706,0
"Ürününü performansı iyi yanlız hortum ve fırca aparatları çok dayanıksız
hepsi buradadan aldım ve bir yılı dolmadan ortum ve fırça aparatları tamamen döküldü. (hortumda kopma meydana geldi, fırca aparatları kırıldı)
almak isteyenlere duyurulur.",5d7850c7-870c-450b-813b-46320a635496,0
Ürünün okuma hızı 537 MB/saniyeyi görüyor ama yazma hızı 70-90 MB/saniye civarında. Üründe bir sıkıntı var sanırım.,2de6041b-3a94-4715-8ba0-37d77cfa1993,0
Öncelikle kimse değinmediği için üzerine basarak söylemek zorundayım. Tabletin hoparlörleri LEŞ. Bunu çamur atmak için falan söylemiyorum. Bu tableti alacaksanız bilin ki kulaklıkla kullanmak zorunda kalacaksınız.Şarjı gerçekten çok gidiyo o konu da bir şüpheniz olmasın. Hızlı şarj özelliği bulunmuyor. Benim için sıkıntı yaratmadı bu durum.Şu an için türkiye dolar kuruyla parasını hakeden bir ürün. Gönül isterki s6 sını alayım malesef veremem şimdi öyle bir miktar.Ders çalışmak için aldım. Ağır pdf dosyalarını kurcalayalar bilirler amiral telefonlarla günümüzde hala farklı farklı raeader uygulamalarında kasmalar yaşanabiliyor. Ban tabletin işlemci performansını yeterli hatta fazla buldum.Dizi film izleyeceğim diyorsanız bilin ki bunu bi köşeye oturtup uzaktan yanınızdakilerle izleme keyfine varamayacaksınız. Sesi gerçekten kötü. Yanı size nasıl anlatayım. Hoparlörü elinizle kapatmışsınız gibi. Ya harici speaker kullanacaksınız ya da kulaklığınız yanınızda olacak.Peki bu kötü özellik almamanız sebep olmalı mı. Bence hayır. Fiyatı diğer tabletlere göre çok uygun. Keza hızı da yüksek. Sizin tercihiniz. Umarım ihtiyacınız doğrultusunda size uygun ürüne kavuşursunuz.,1b11e4a7-d0b7-42ce-b349-a094243f75d6,0
"Ürüne diyecek sözüm yok ürün güzel. Ancak paketleme yanlış yapılmış.
Ürün hiç bir şeye sarılmadan kutuya sıkıştırılmış. Sprey düğmesi kapakla
bütün olduğu için kapakla beraber sıkışık kutuda kırılmış ve
kullanılamaz halde. Böyle bir ürün baloncuklu naylona sarılmış olsa
hassas ürün koruma altına alınmış olurdu.",67bed464-480f-42c5-a2e7-ae7a138cb997,2
mng kargo ile 5 gün de geldi  mng kargonun gevşekliği ürün güzel paketlenmemişti kutunun içinde sallanıyordu,e4f5a787-c643-4dfa-84ca-e7fdb593b2e8,2
daha kaliteli olabilirdi beklediğim kalitede degildi ama iş görür,a445ad1c-903b-4097-9921-19b04a9ec535,0
Arkadaşlar ürünü almadan önce bende düşündüm gelirmi ve ya sıkıntı çıkar mı diye üründe sıkıntı yok yanlız şarjı 1 günü zor çıkartıyor tek sıkıntısı şarjı bide usb girişinde bulunan plastik kapak çok kalitesiz ve hemen kopuyor.,5b454d89-826b-461a-9c5f-fc7a0653a9f3,0
